的 dí,dì,de
菬 qiáo,zhǎo
菭 tái,zhī,chí
華 huá,huà,huā
菳 qín,qīn,jīn
菻 lǐn,má
菾 tián,tiàn
蒉 kuì,kuài
蒔 shì,shí
蒘 rú,ná
蒝 yuán,huán
蒣 xú,shú
蒩 zū,jù
蒵 xí,xì
蓃 sōu,sǒu
蓋 gài,gě,hé
蓔 yǎo,zhuó
蓧 diào,tiáo,dí
蓲 qiū,xū,fū
蓻 zí,jú
蕁 qián,xún
薂 xí,xiào
薋 cí,zī
薍 wàn,luàn
薔 qiáng,sè
薟 xiān,liǎn
薧 hāo,kǎo
薳 yuǎn,wěi
薵 chóu,zhòu
薶 mái,wō
薺 jì,qí
藃 xiāo,hào
藇 xù,yù,xū
藋 diào,zhuó
藨 biāo,pāo
藰 liú,liǔ
藱 huì,huí
藸 zhū,chú
蘋 pín,píng
號 hào,háo
蚄 fāng,bàng
蚔 qí,zhǐ
蚖 yuán,wán
蚗 jué,quē
蚙 qín,qián
蚥 fù,fǔ
蚮 dài,dé
蚼 gǒu,qú,xù
菻 lǐn,má
菾 tián,tiàn
蒉 kuì,kuài
蒔 shì,shí
蒘 rú,ná
蒝 yuán,huán
蒣 xú,shú
蒩 zū,jù
蒵 xí,xì
蓃 sōu,sǒu
蓋 gài,gě,hé
蓔 yǎo,zhuó
蓧 diào,tiáo,dí
蓲 qiū,xū,fū
蓻 zí,jú
蕁 qián,xún
薂 xí,xiào
薋 cí,zī
薍 wàn,luàn
薔 qiáng,sè
薟 xiān,liǎn
薧 hāo,kǎo
薳 yuǎn,wěi
薵 chóu,zhòu
薶 mái,wō
薺 jì,qí
藃 xiāo,hào
藇 xù,yù,xū
藋 diào,zhuó
藨 biāo,pāo
藰 liú,liǔ
藱 huì,huí
藸 zhū,chú
蘋 pín,píng
號 hào,háo
蚄 fāng,bàng
蚔 qí,zhǐ
蚖 yuán,wán
蚗 jué,quē
蚙 qín,qián
蚥 fù,fǔ
蚮 dài,dé
蚼 gǒu,qú,xù
蚾 pí,bǒ
蛒 gé,luò
蛖 máng,bàng
蛡 yì,xǔ
蛪 qiè,ní
蝦 xiā,hā
螕 bī,pí
螚 nài,něng
螛 hé,xiá
螝 guì,huǐ
螞 mǎ,mā,mà
螲 dié,zhì
螶 qú,jù
螹 chán,jiàn
蟞 biē,bié
蟦 fèi,bēn
蟧 láo,liáo
蟫 yín,xún
袉 tuó,tuō
袌 bào,páo,pào
袓 jù,jiē
袔 hè,kè
袘 yí,yì
袦 nà,jué
袲 chǐ,nuǒ
袳 chǐ,qǐ,duǒ,nuǒ
袷 jiá,jié,qiā
袸 jiàn,zùn
袹 bó,mò
袿 guī,guà
裎 chéng,chěng
裓 gé,jiē
裯 chóu,dāo
裷 yuān,gǔn
裺 yǎn,ān
裼 xī,tì
見 jiàn,xiàn
覌 guān,guàn
覐 jué,jiào
覕 piē,miè
覚 jué,jiào
親 qīn,qìng
覮 yíng,yǐng
覰 qū,qù
覱 zhàn,zhān
観 guān,guàn
覵 jiàn,biǎn
覶 luó,luǎn
覷 qù,qū
覺 jué,jiào
覻 qù,qū
觀 guān,guàn
觜 zī,zuǐ
觟 huà,xiè
觧 jiě,jiè,xiè
觭 jī,qí
觷 xué,hù
觻 lì,lù
詒 yí,dài
誂 tiǎo,diào
誃 yí,chǐ,chì
誇 kuā,kuà
誏 lǎng,làng
誒 ēi,éi,ěi,èi,xī
誖 bèi,bó
語 yǔ,yù
說 shuō,shuì,yuè
説 shuō,shuì,yuè
誰 shuí,shéi
誳 qū,juè
誺 chī,lài
誽 nì,ná
調 diào,tiáo
諀 pǐ,bēi
諅 jì,jī
諎 zé,zuò,zhǎ,cuò
諔 chù,jí
諕 xià,háo
論 lùn,lún
諟 shì,dì
諣 huà,guā
諰 xǐ,shāi,āi
諵 nán,nàn
讂 juàn,xuān
讉 yí,tuī
诪 zhōu,chóu
诶 ēi,éi,ěi,èi,xī
豈 qǐ,kǎi
豣 jiān,yàn
貆 huán,huān
貇 kěn,kūn
貈 hé,mò
貒 tuān,tuàn
貓 māo,máo
貗 jù,lóu
貟 yuán,yún,yùn
貤 yì,yí
責 zé,zhài
賁 bì,bēn
賈 jiǎ,gǔ,jià
賯 xiōng,mín
賺 zhuàn,zuàn
贃 wàn,zhuàn
贠 yuán,yùn
趃 dié,tú
趌 jí,jié
趏 guā,huó
諎 zé,zuò,zhǎ,cuò
諔 chù,jí
諕 xià,háo
論 lùn,lún
諟 shì,dì
諣 huà,guā
諰 xǐ,shāi,āi
諵 nán,nàn
讂 juàn,xuān
讉 yí,tuī
诪 zhōu,chóu
诶 ēi,éi,ěi,èi,xī
豈 qǐ,kǎi
豣 jiān,yàn
貆 huán,huān
貇 kěn,kūn
貈 hé,mò
貒 tuān,tuàn
貓 māo,máo
貗 jù,lóu
貟 yuán,yún,yùn
貤 yì,yí
責 zé,zhài
賁 bì,bēn
賈 jiǎ,gǔ,jià
賯 xiōng,mín
賺 zhuàn,zuàn
贃 wàn,zhuàn
贠 yuán,yùn
趃 dié,tú
趌 jí,jié
趏 guā,huó
趞 què,qì,jí
趠 chuō,zhuó
趨 qū,cù
趯 tì,yuè
趵 bào,bō
趶 kuà,wù
趹 jué,guì
趽 fāng,fàng,páng
跁 bà,páo
跂 qí,qǐ
跈 jiàn,chén
跐 cī,cǐ
跕 diǎn,tiē,dié
跘 pán,bàn
跙 jū,jù,qiè
跞 lì,luò
跢 dài,duò,duō,chí
跰 pián,bèng
跾 shū,chōu
躒 lì,luò
躘 lóng,lǒng
躠 sǎ,xiè
車 chē,jū
軋 yà,zhá,gá
軐 xìn,xiàn
軓 fàn,guǐ
転 zhuàn,zhuǎn
軪 āo,ào
軸 zhóu,zhòu
軻 kē,kě
軼 yì,dié
辺 dào,biān
迆 yǐ,yí
迋 wàng,kuāng
迣 zhì,lì
迬 zhù,wǎng
迱 yǐ,yí
遆 dì,tí
還 huán,hái
邌 lí,chí
邟 kàng,háng
郂 gāi,hái
郇 xún,huán
郩 xiáo,ǎo
酂 cuó,zàn
酇 cuó,zàn
醈 tán,dàn
醍 tí,tǐ
醔 qiú,chōu
醗 pō,fā
醦 chǎn,chěn
醱 pō,fā
醳 yì,shì
醶 yàn,liǎn,xiān
釀 niàng,niáng
釐 lí,xǐ,xī
釕 liǎo,liào
釘 dīng,dìng
釤 shān,shàn
釥 qiǎo,jiǎo
釪 huá,yú
釫 huá,wū
釰 rì,rèn,jiàn
釱 dì,dài
釶 shī,yí
釼 rì,rèn,jiàn
釽 pī,zhāo
釾 yé,yá
鉈 tā,tuó
鉋 bào,páo
鉼 bǐng,píng
鉿 hā,kē
銄 xiǎng,jiōng
銉 yù,sì
銊 xù,huì
銋 rén,rěn
銏 shàn,shuò
銐 chì,lì
銑 xiǎn,xǐ
銗 hóu,xiàng
銚 diào,tiáo,yáo
銛 xiān,kuò,tiǎn,guā
銴 shì,zhì
銸 zhé,niè
銽 xiān,kuò,tiǎn,guā
銾 hòng,gǒng
銿 zhōng,yōng
鋀 tōu,tù,dòu
鋂 méi,méng
鋄 wàn,jiǎn
鋌 tǐng,dìng
鋑 juān,jiān,cuān
鋖 sī,tuó
鋗 xuān,juān,juàn
鋘 huá,wú,wū
鋜 zhuó,chuò
鋞 xíng,xìng,jīng
鋦 jū,jú
鋪 pū,pù
鋷 zuì,niè
鋸 jù,jū
鋺 yuǎn,yuān,wǎn,wān
鋻 jiān,jiàn
鋼 gāng,gàng
鎈 cuō,chā
鎉 dā,tà
鎍 suǒ,sè
鎐 yáo,zú
鎑 yè,tà,gé
鎗 qiāng,chēng
鎘 gé,lì
鎞 bī,bì,pī
鎦 liú,liù
鎫 wàn,jiǎn
鎬 gǎo,hào
鏃 zú,chuò
鏅 xiū,xiù
鏉 shòu,sōu
銋 rén,rěn
銏 shàn,shuò
銐 chì,lì
銑 xiǎn,xǐ
銗 hóu,xiàng
銚 diào,tiáo,yáo
銛 xiān,kuò,tiǎn,guā
銴 shì,zhì
銸 zhé,niè
銽 xiān,kuò,tiǎn,guā
銾 hòng,gǒng
銿 zhōng,yōng
鋀 tōu,tù,dòu
鋂 méi,méng
鋄 wàn,jiǎn
鋌 tǐng,dìng
鋑 juān,jiān,cuān
鋖 sī,tuó
鋗 xuān,juān,juàn
鋘 huá,wú,wū
鋜 zhuó,chuò
鋞 xíng,xìng,jīng
鋦 jū,jú
鋪 pū,pù
鋷 zuì,niè
鋸 jù,jū
鋺 yuǎn,yuān,wǎn,wān
鋻 jiān,jiàn
鋼 gāng,gàng
鎈 cuō,chā
鎉 dā,tà
鎍 suǒ,sè
鎐 yáo,zú
鎑 yè,tà,gé
鎗 qiāng,chēng
鎘 gé,lì
鎞 bī,bì,pī
鎦 liú,liù
鎫 wàn,jiǎn
鎬 gǎo,hào
鏃 zú,chuò
鏅 xiū,xiù
鏉 shòu,sōu
鏑 dí,dī
鏒 sǎn,qiāo,càn
鏕 lù,áo
鏜 tāng,táng
鏩 jiàn,zàn
鏸 huì,suì,ruì
鏹 qiǎng,qiāng
鏾 sǎn,xiàn,sà
鐺 dāng,chēng
钌 liǎo,liào
钐 shān,shàn
钑 sà,xì
铇 bào,páo
铊 tā,tuó
铍 pí,pī
铔 yā,yà
铦 xiān,kuò,tiǎn,guā
铪 hā,kē
铫 diào,tiáo,yáo
铴 tàng,tāng
镉 gé,lì
長 cháng,zhǎng
閄 huò,shǎn
閈 hàn,bì
閌 kāng,kàng
閒 xián,jiān,jiàn
間 jiān,jiàn
閕 xiā,xiǎ
閛 pēng,pèng
閜 xiǎ,kě
閞 biàn,guān
閤 hé,gé
閧 hòng,xiàng
閪 sē,xī
閮 tíng,tǐng
閼 è,yān
闂 hòng,juǎn,xiàng
闆 bǎn,pàn
闍 dū,shé
闕 què,quē
闛 táng,tāng,chāng
闞 kàn,hǎn
闟 xì,sè,tà
闣 dāng,dàng
闬 hàn,bì
闶 kàng,kāng
阇 dū,shé
隁 yàn,yǎn
隃 yú,yáo,shù
隊 duì,zhuì
隑 qí,gāi,ái
隓 huī,duò
隠 yǐn,yìn
隩 ào,yù
隱 yǐn,yìn
隹 zhuī,cuī,wéi
隺 hú,hè
雋 jùn,juàn
雚 guàn,huán
雟 guī,xī
難 nán,nàn,nuó
雭 sè,xí
雺 wù,méng
雽 hū,hù
鞈 gé,tà,sǎ
鞊 jié,jí
鞔 mán,mèn
鞕 biān,yìng
鞙 xuān,juān
鞝 shàng,zhǎng
鞞 bǐng,pí,bì,bēi
鞢 xiè,dié
鞪 mù,móu
鞬 jiàn,jiān
鞰 wēn,yùn
鞸 bì,bǐng
韎 mèi,wà
韘 shè,xiè
風 fēng,fěng
颩 biāo,diū
颰 bá,fú
颾 sāo,sōu
飂 liù,liáo
飬 yǎng,juàn
飮 yǐn,yìn
飲 yǐn,yìn
飳 zhù,tǒu
飴 yí,sì
飵 zuò,zé,zhā
饟 xiǎng,náng
饹 gē,le
馏 liù,liú
馕 náng,nǎng
馧 yūn,wò
馮 féng,píng
馯 hàn,hán
馱 tuó,duò
馲 tuō,zhé
馶 zhī,shì
馸 xìn,jìn
馾 dǎn,dàn
駃 jué,kuài
駄 tuó,duò
駘 tái,dài
駨 xún,xuān
駺 liáng,láng
骳 bèi,mó
馾 dǎn,dàn
駃 jué,kuài
駄 tuó,duò
駘 tái,dài
駨 xún,xuān
駺 liáng,láng
骳 bèi,mó
骹 qiāo,xiāo
髉 bó,jué
體 tǐ,tī
髲 bì,pǒ
髳 máo,méng
髺 kuò,yuè
魞 bā,bà
鮆 cǐ,jì
鮊 bó,bà
鮓 zhǎ,zhà
鮘 chou,dài
鮥 luò,gé
鮭 guī,xié
鮮 xiān,xiǎn
鯆 pū,bū
鯣 yì,sī
鰓 sāi,xǐ
鲃 bā,bà
鲄 hé,gě
鲊 zhǎ,zhà
鲌 bó,bà
鳃 sāi,xǐ
鳜 guì,jué
鳣 zhān,shàn
鳥 niǎo,diǎo
鳭 diāo,zhāo
鳱 gān,hàn,yàn
鳺 fū,guī
鳻 bān,fén
鳽 jiān,qiān,zhān
鶗 tí,chí
鶙 tí,chí
鶝 fú,bì
鶡 hé,jiè
鶣 piān,biǎn
鶨 chuàn,zhì
鶬 cāng,qiāng
鶮 hè,hú
鶻 gǔ,hú
鶽 sǔn,xùn
鷜 lóu,lǚ
麃 páo,biāo
麆 zhù,cū
麇 jūn,qún
麗 lí,lì
麼 mó,me
黮 dàn,shèn
黰 zhěn,yān
黵 dǎn,zhǎn
黽 mǐn,miǎn,měng
黾 mǐn,miǎn,měng
齊 qí,zhāi
龂 yín,kěn
龍 lóng,lǒng
龏 gōng,wò
龓 lóng,lǒng
龜 guī,jūn,qiū
㐁 tiǎn,tiàn
㐆 yǐn,yī
㐌 sì,yí
㐲 dài,fú
㐷 mǎ,mà,mián
㐺 zhòng,yín
㐼 chèng,zhěng
㐾 ruǎn,yuàn
㑂 fǎng,páng
㑋 jiòng,kǒng,qióng
㑍 lěi,lèi
㑑 lǎn,jì
㑙 dié,yǒng
㑜 yì,chì
㑟 běng,bó,pěng
㑮 hún,wén
㑵 hàn,jí,jié,zhǎ,zí
㑸 ǎi,yáo,yóu
㑾 xiáo,yáo
㒁 yǔ,yùn
㒂 kù,zhuó
㒄 nàng,nèn,rǎn
㒆 chì,kè,xì,xiào,yàn
㒇 mù,wǔ
㒍 léi,lěi
㒎 sǎ,sà,tàn
㒑 huì,kuǐ
㒜 yú,yǔ
㒝 miè,wà
㒞 jùn,kě
㒤 shè,chè
㒷 guǎ,xìng,xǔ
㒸 suì,xuán
㓃 chuí,dù,zhà
㓈 bèi,bìng,fèi,yè
㓉 huàn,huó,huò
㓎 qīn,qǐn,qìn
㓖 bì,bié
㓗 jié,qǐ
㓞 qì,qià,yáo
㓡 fǔ,fǒu
㓤 jié,qià
㓨 cí,cì
㓴 jùn,ruǎn
㓸 jué,zhuó
㓼 chì,chòng
㔀 lüè,qíng
㔃 jué,pì
㔋 jiàn,lán,làn
㔍 duǒ,zhá
㔎 xiè,yì
㔑 chì,dào,qì,shuì
㔓 jiǎn,xiàn
㔕 jí,yì
㔙 bǎng,péng
㔜 bá,bó
㔞 kuài,kuàng,wàng
㔠 hé,jiá
㔣 léi,lèi
㔭 chè,chí,yí
㔯 suǎn,xuán
㔳 guǐ,gùn,huán,jué
㔵 xiàn,xuǎn
㔽 yào,yǒu
㕇 lá,lā
㕈 hòu,yǐ
㕋 jìng,qín
㕎 è,kè,kǔn
㕒 wéi,wěi,wēi
㕙 jùn,ruì
㕛 xù,yǒu,yòu
㕡 hé,hè,huò
㕢 gài,hài,jù,lǔn,nǒu
㕣 yǎn,yàn
㕭 ào,bì
㕲 huá,yíng
㕵 guó,hún,luǒ
㕶 ň,ňg
㖀 lè,luò
㖃 hǒu,hòu
㖆 qú,qǔ
㖕 bò,niè
㖠 bà,nuò
㖢 jí,qí
㖷 shí,tí
㖼 duǒ,lín,móu
㖽 zé,zéi
㗃 wěn,yìn
㗄 mán,màn
㗆 gé,kài
㗇 xiá,ya
㗉 bì,è,lüè
㗊 jí,qì,bī,léi
㗘 bó,fù
㗙 nà,chú,zhōu
㗢 dòng,hóng
㗰 chù,cóng
㗲 huò,xì
㗿 hé,xià,xiā
㘈 yī,yì
㘍 jí,qì
㘎 hǎn,hàn
㘐 pào,pěng
㘔 cǎn,sǎi
㘕 hǎn,lán
㘙 yán,yǎn
㘜 chǐ,chóu,chù
㘝 niǎn,niè,nà,lǎn
㘠 bì,mì
㘣 xuán,yuán
㙁 mǎng,méi,mèi,mù,nà
㙈 hán,xià
㙊 cháng,zhàng
㙜 chí,tái
㙠 yì,yī
㙢 mán,mén
㙨 jì,qí
㙪 yè,yì
㙮 dā,da
㙳 hǎn,hé,kǎn
㙴 chàn,zhàn
㙸 bào,bó,pú
㙺 guì,kuí
㙻 chán,qiè,zàn
㙾 xì,xué
㚁 qiáo,qiào,qù
㚃 yún,yùn,yūn
㚌 huà,huǒ
㚍 guó,kuǐ,kuì
㚓 lái,lǎi
㚕 fú,bì
㚗 qié,xié
㚜 xù,yù
㚞 měng,shěn,yìng,yùn
㚣 jiāo,xiáo
㚫 shà,zhà
㚯 xín,xún
㚲 diǎn,shàn,chān
㚷 ěr,nǎi
㛆 duǒ,duò
㛏 òu,qiú
㛗 zuò,qiē
㛙 qiè,qín,shěn,shèn
㛛 xìn,zhèn
㛝 bèi,bèng
㛪 yàn,yuán
㛱 ruì,wěi
㛳 chà,yì
㛶 chóu,tán,tàn
㛼 shà,chā
㜃 liàn,liáo,máng
㜇 huì,yè
㜊 pàng,zhǎn
㜎 xī,xì
㜑 fú,pó
㜗 cǎn,chú,xuàn
㜛 nèn,ruǎn
㜝 ǎn,àn
㜣 rán,niàn
㜤 shěn,niǎn
㜥 mái,mó
㜦 hàn,niè,sì,xié,xín
㜨 ér,nái
㜫 mà,méi,měi
㜱 dòng,zhì
㜲 wěng,yíng
㜷 mí,nǎi,xiǎn
㜼 zhí,zhì
㝃 fàn,miǎn,wǎn
㝄 chún,qì,rùn
㝋 liáo,liǎo,liú
㝌 jié,jiù,zhòu
㝑 máng,páng
㝓 gé,kè
㝖 yí,yín
㝟 máo,mào,kuān
㝣 yè,yì
㝦 jùn,yá
㝪 diàn,dǐng
㝶 ài,dé
㝺 lián,lín
㝽 chuí,shuǐ,zhuǐ
㝿 bó,bǒ,fù,qiàn
㞎 bǎ,fú,pá
㞒 xì,xiè
㞓 qǐ,qì
㞚 qì,zhǎ
㞠 láo,liáo
㞨 zǎi,zǐ
㞫 jù,zǒu
㞼 chéng,shèng,zhé
㞾 ní,yì
㞿 chì,qí
㟂 chǐ,mǔ
㟇 cuó,cuǒ
㟙 lǎo,zé,zhái
㟝 péi,pǒu
㟧 è,niè,xùn
㟩 mín,mǐn,wěn
㟬 shǔ,sǒu
㟲 jué,yuán
㟴 kuài,kuǐ,wěi
㟿 máng,mǎng
㠅 fú,fù
㠍 jí,jié,qì
㠖 jì,yǐ
㠗 ào,wò
㠚 duì,zhuó
㠣 lài,lì
㠧 mí,mǐ
㠭 zhǎn,zhàn
㠱 jì,qǐ
㡁 kǎi,kuà
㡄 sǔn,xún
㡇 jí,zhé
㡈 mén,wèn
㡉 xián,yán
㡊 qià,qiǎn
㡋 è,yé
㡌 mào,mèi
㡏 tóu,shū
㡔 wù,mù
㡙 bī,pí
㡝 fèng,fú
㡞 lěi,lóu
㡨 qiān,jiān
㡯 zhái,dù
㡳 dǐ,zhé,zhǐ
㡸 zhǎ,zhà
㡹 cì,jū
㢀 cì,zì
㢍 yíng,yǐng
㢎 chà,zé,zhái,zhé
㢓 yǎo,zhàng
㢟 chǎn,chān
㢠 jiǒng,jùn
㢣 jìng,qíng
㢰 bì,huán
㢵 shè,xié
㣃 yǔ,yù
㣆 mí,mí,pèi
㣇 nǐ,yì
㣚 tóng,tǒng
㣞 duó,duò
㣣 shǎn,shàn
㣧 yìn,yǒng
㣪 huǎn,kuò
㣱 zé,zuò
㤁 miǎn,tiǎn
㤇 ǎo,fó,wù
㤉 qiā,yá
㤊 xiào,yáo
㤔 fú,fù
㤘 chù,cù,zhòu
㤛 nín,rèn
㤜 jué,yù
㤟 kǒng,tòu
㤢 xù,yù
㤤 yú,yǔ
㤧 hóu,hòu
㤨 gǒng,qióng
㤬 huì,kuì
㤮 kuáng,guàng
㤯 jiǒng,jùn
㤰 zǎn,zuò
㤲 qiè,qù
㥁 dé,zhí,zhòu
㥆 diàn,tuì
㥇 cán,càn
㥉 chè,chì
㥎 lái,lí
㥔 yú,yù
㥛 jí,kè,sù
㥝 mǐ,miǎn
㥞 cuì,qiàn,suì
㥦 qiè,xiá,xiǎn
㥨 chuí,shuì,wěi
㥲 shèn,yín
㥴 yí,yǐ
㥷 yè,yì
㥺 hé,hè
㥽 cè,zé
㦂 cháng,tàng
㦄 má,mì
㦅 diē,dì
㦌 tuì,xù,hū
㦏 sǔn,xuàn
㦑 liǎn,xiàn
㦗 jiàn,jìn
㦛 yú,yǔ
㦜 huò,xuè
㦟 hài,mái
㦢 jié,qì
㦥 huán,xiǎn
㦨 lán,làn
㦴 gé,qià
㦹 àng,yáng,yǐng
㦺 rǔ,rù
㦻 xí,zhé
㦽 xù,yù
㧄 qiǎn,qiú
㧅 mù,dāo
㧈 yǐn,yìn
㧉 gài,kuì
㧊 bá,pō
㧋 xiǎn,xuǎn
㧎 yá,yà,qiā
㧑 wéi,wěi
㧒 xué,yù,yuè
㧕 jiù,liǔ,yú
㧗 zǐ,jǐ,zhǐ
㧘 cuì,nǎo,zì
㧱 chèn,ná,nì,nì,tiàn
㧳 bǎi,bó,zhuò
㧵 póu,pǒu
㧷 duò,tùn
㧻 zhǐ,zhuó,zú
㧽 gù,hú
㨁 zhí,zhì
㨃 chéng,duǐ
㨅 nèi,ruì
㨋 chě,lè,zhèn
㨌 gòu,rú,rǔ
㨎 rú,ruán
㨐 bǔ,péi
㨒 kuí,wěi,xié
㨓 láo,liáo
㨤 huì,kuǎi,wài
㨯 huò,kuò
㨰 gé,gǔn,hùn,huò,jié
㨶 chóu,dǎo,zhǒu,zhòu
㨺 mén,mì,miǎn
㨻 cán,shǎn,zàn
㨽 pǐ,pì,qiǎo
㩇 huà,huò
㩈 xiàn,yǔn
㩋 sù,xiāo
㩖 qiáng,tiáo
㩗 xí,xié
㩢 mí,miè
㩩 qǐ,qǐng
㩪 xié,xìn,yé
㩭 bó,jiǎo,xiào
㩮 qián,xián
㩯 bǎn,pán,pó
㩰 jiǎo,qiáo,xiǔ
㩲 kǔn,quán
㩶 niè,nǐng
㩹 dié,zhá
㩻 guǐ,qī
㪌 tǒng,yú,yǔ
㪔 sàn,tán
㪙 kě,kè,kuò
㪪 sà,xǐ
㪯 chá,jǔ,qú
㪽 suǒ,suò
㪾 gé,luò
㪿 zhé,shé
㫅 chá,qí,shí
㫎 gǔn,kuài
㫑 shí,zhǐ
㫓 qǐ,qì
㫘 mì,miǎn
㫛 guàng,kuáng,kuàng,mǔ
㫜 dàn,tǎn
㫤 chǎng,zhào
㫶 cǒu,zhǒu
㫹 dài,shù,yú
㫼 dié,zhé,zhì
㬆 mián,miàn,mǐn
㬉 nuǎn,ruò
㬐 jǐn,jìn,xíng,yǐng
㬒 mǎng,mào
㬪 dié,zhì
㬭 jiào,shǎn,yǎo
㬮 kuài,nàn
㬵 xiáo,jiāo
㭈 jué,kuài
㭌 móu,yú
㭘 hé,gé
㭙 shé,zhé
㭡 xì,xìn
㭩 lèi,líng,liè
㭫 cuán,cuó,zhèn
㭯 dié,nà,zhé
㭰 jì,jué,zuǐ
㭱 hé,xiá
㭾 jué,yuè
㮄 bǎng,bì,péng
㮋 yǒu,yù
㮌 mián,mǐn
㮐 xǐng,shěng
㮕 ér,ruǎn
㮖 jiá,jiá
㮝 hé,luò
㮞 jié,ní,yá
㮟 jí,niǎn,pèng,ròu,kā
㮣 gài,zé
㮦 sè,suǒ
㮨 jí,jì
㮯 huá,hún,kuǎn
㮰 bí,pí
㮶 shì,shuò
㯀 xiǎn,xuàn
㯉 huò,chū
㯐 fǎng,tuǒ
㯗 rǎn,shùn,xián,xiàn
㯛 hú,huò
㯞 juàn,yuè
㯠 qiàn,xiàn,xún
㯥 cáo,zāo
㯰 zhé,zhí
㯱 biǎo,piáo,pāo
㯻 gǔn,hùn
㰂 shěn,sǔn
㰐 jué,kuí,lěi,tuǐ,tuǒ
㰒 shé,xué
㰟 jì,qì
㰤 hē,qiè
㰯 tòu,tǒu,hòu
㰲 xù,yù
㰴 pó,pǒu
㰸 liǎn,liàn,luǎn
㰺 xiá,xià
㰽 mǐ,yàn
㱀 chǐ,chuài
㱇 sè,xì
㱌 chè,yǎn,yé
㱔 xiē,suò
㱘 àn,yǎn
㱚 cán,hài,shàn
㱟 bó,pí,pǐ
㱦 è,guì,jǐ,qī
㱪 mèn,hūn
㱮 kuài,kuì
㱱 huì,wù,xì
㱵 bèn,fèn
㱶 bèng,jiào,péng,qiǎo,rù
㱸 bì,bié
㱹 lì,suàn,xiàn
㱻 luǒ,luò
㱽 dàn,qín,zhěn
㱾 gāi,kāi
㲄 kòu,kū
㲋 chuò,zhuó,zú
㲏 bǎo,piǎo,pín,pìng
㲜 tán,tǎn
㲡 nài,nì
㲢 biàn,bié
㲦 hàn,hě
㲲 dié,yì
㲴 zhòng,zhòu
㲹 guǐ,qiú
㲺 jí,kè,léi
㲽 niàn,rěn,xiàn
㲾 yǔ,yù
㳀 guò,kǎi,xì
㳅 jiǎo,liú
㳆 shǔ,tǒu
㳎 biàn,fàn
㳏 chǐ,shì
㳐 sà,zhá,zhǎ
㳥 jù,lòng
㳨 jiǎn,zá,zǎn
㳪 pàn,pì
㳶 gòu,nǒu
㳷 wěn,hū
㴃 lèi,lì
㴆 jìn,xìng
㴔 sè,yì
㴸 nà,shǎn,yè
㴽 xiè,yìn
㵀 cuàn,zú
㵂 chuǎng,shù
㵄 hàn,qià,yù
㵅 dàn,tàn
㵊 shěn,zhé
㵌 chàn,qióng,xún
㵎 hǎn,jiàn,kǎn
㵔 chě,chè
㵗 fù,pán,píng
㵢 léi,lěi
㵣 kě,luǒ
㵤 diàn,shà,xiá
㵥 bì,mì
㵨 bì,pì
㵫 nǐ,yì
㵮 chún,wěn
㵳 liáo,liú
㵸 yào,yuè
㵺 pái,pài
㵽 duì,lěi
㵾 jìng,qìng
㶆 chú,zhū
㶈 yíng,yìng
㶒 shǎn,shěn,tàn
㶡 dài,huǒ,zuó
㶫 liǎo,liào
㶬 méi,mò
㶭 jiù,yǒu
㶴 chǐ,shǐ
㷅 chǎo,miǎo
㷆 dòu,fù
㷇 guài,kuí
㷉 wèi,yù,yùn
㷋 tán,tǎn
㷎 hè,hóng,xié
㷤 hè,hù,xuè
㷪 cuì,zuǎn
㷴 gé,lì
㷶 bèi,bì
㷸 dié,yè
㸁 hǎn,hàn
㸄 jì,jié
㸊 là,lài,liè
㸛 sháo,shuò
㸣 yè,yì
㸧 kèn,yín
㸬 bèi,fèi,pèi
㸲 zuó,zuò
㸵 guǐ,wěi
㸸 hǒu,ǒu,kǒu
㹂 cì,qiǎn
㹃 bì,fèi
㹄 jì,qì
㹈 lí,máo
㹌 chǎn,shèng
㹍 dí,dú
㹐 chóng,zhòu
㹑 sì,yí
㹗 táo,tāo
㹘 rú,rù,ruí
㹛 ráo,rǎo
㹞 yín,yǐn
㹡 xuán,xuàn
㹤 qiè,què
㹫 xì,yí
㹱 hú,què,rǎn
㹷 shǐ,xìn
㹼 chǔ,jú,yù
㹽 chǎn,shàn
㹿 diǎo,zhào,zhuó
㺂 gǎn,jiàn,yán
㺑 cán,shǎn
㺒 liào,yáo,xiāo
㺔 hài,wèi
㺗 dàn,yán
㺠 yòu,yù
㺥 chán,tán
㺩 jiù,sè
㻀 yóu,yú
㻅 huì,kuài
㻊 máng,mén,mèng
㻋 là,lèi
㻎 lì,sè
㻏 líng,lǐng
㻔 duǒ,ruì
㻞 biàn,fèn,pìn
㻡 dié,jué
㻧 duò,hé
㻭 sè,zé
㻰 miǎn,rè,wèi,yù
㻶 bǐ,bì
㻸 cén,jìn,xín,zēn
㻺 lì,liè
㼂 é,wèn,yuǎn
㼉 yìn,zhèn
㼋 gǔ,jiǔ,móu,rǔ
㼎 bèi,bó,kě
㼑 liàn,luán
㼒 qiǔ,tǎng
㼓 lián,liǎn
㼗 dǐng,tíng
㼜 àng,póu
㼝 fàn,wǎn
㼢 ě,yí
㼣 bǎi,bó
㼤 qì,qiè,yà
㼥 chú,kǎo,tǒu
㼭 diàn,niǎo
㼮 chāi,qì
㼰 é,pí
㼽 shuǎng,chuǎng
㽇 guài,hú,huí,méng,sè
㽉 hǎn,jiàn,xiàn
㽋 luó,luò
㽎 dǎn,tán
㽛 gōu,qú
